1968	1	1	2.5	-1.4	-4.8	35.3	3.3	7	0	0	0.5
1968	1	2	6.1	2.6	-1.9	57.3	3.5	7.9	0	0	4.3
1968	1	3	3.6	-0.5	-3.3	37.8	4.1	8.7	0	0	2.3
1968	1	4	7.2	3.1	-1.5	47	2.3	8.4	0	0	1.5
1968	1	5	11.4	6.1	1.5	67	1.7	3.8	0	0	5
1968	1	6	7.8	3	1.3	87	0.5	5.9	0	0	5.8
1968	1	7	4.5	1.5	-3.4	41.5	1.1	8.3	0	0	0
1968	1	8	0.6	-2.6	-5.7	37	1.2	8.3	0	0	0
1968	1	9	5	-0.3	-4.6	37.3	0.6	8.4	0	0	0
1968	1	10	7.3	4.1	1.5	35.3	3	6	0	0	2.5
1968	1	11	6.9	1.8	-2.5	49.8	1.2	8.4	0	0	0
1968	1	12	8.4	3.6	-1.6	48.5	1.2	4.5	0	0	4
1968	1	13	5.4	1.8	-4.3	52.5	5.3	8.5	0	0	3.5
1968	1	14	-2.8	-6.4	-10.6	34.8	3.2	4.5	0	0	2.5
1968	1	15	-4.3	-8.2	-11.4	34.5	3.7	8.3	0	0	0
1968	1	16	5.2	0.3	-7.4	43.5	2.7	8.4	0	0	0.8
1968	1	17	8.2	5	0.6	42.3	2.6	7.9	0	0	2.3
1968	1	18	0.7	-2.9	-6.2	25	3.1	8.5	0	0	0
1968	1	19	-0.8	-3.7	-5.8	39.3	1	0	0	0	5
1968	1	20	1.9	-2.9	-7	49.5	1.5	8.7	0	0	0.3
1968	1	21	0.8	-2.5	-4.6	43.5	2.7	8.7	0	0	0.3
1968	1	22	2.1	-1.8	-5.5	48.3	2	8.7	0	0	0
1968	1	23	2.3	-1.4	-4	53.8	1.3	2.4	0	0	7.5
1968	1	24	0	-2	-3.5	60	1.3	0	0	0	5.3
1968	1	25	1.6	-2.8	-7.7	47	1.6	8.8	0	0	0
1968	1	26	1.4	-2.5	-5.6	40.5	1.8	8.8	0	0	0
1968	1	27	0	-3.4	-6.2	46.5	1.1	8.8	0	0	2.5
1968	1	28	2.9	-1.3	-4.2	57.8	0.9	8.3	0	0	2.3
1968	1	29	4.7	0.8	-3.1	59.8	1.3	7.1	0	0	5.3
1968	1	30	2	-1.9	-5.2	49.8	1.7	7.5	0	0	1
1968	1	31	-4.3	-6.5	-9.5	27.8	3	9.1	0	0	0
1968	2	1	-3.2	-7.3	-9.9	29.8	4.2	9.2	0	0	0
1968	2	2	-0.6	-5.6	-9.8	26.3	4.1	9.2	0	0	0
1968	2	3	0.4	-3.7	-6.5	28.8	3	9.2	0	0	0
1968	2	4	0.6	-3.4	-5.5	47.5	2	9.2	0	0	0
1968	2	5	1.1	-3.8	-7	42.5	2.4	9.2	0	0	0
1968	2	6	-0.3	-3.9	-6.7	45	1.8	9.2	0	0	0
1968	2	7	1.2	-3.1	-7.1	51.5	1.4	9.3	0	0	0
1968	2	8	1.9	-2.6	-5.5	37.8	2.5	9.4	0	0	0.8
1968	2	9	0.5	-3.3	-6.2	43.5	2.1	9.4	0	0	0.3
1968	2	10	2.5	-1.6	-5.1	45.5	2	8.7	0	0	5.8
1968	2	11	0.2	-3.4	-6.1	42.5	2.6	9.2	0	0	0.5
1968	2	12	2.9	-2.1	-7.6	49.3	1.2	9.6	0	0	0.5
1968	2	13	5.7	0	-2.3	52.3	1.8	9.6	0	0	2.8
1968	2	14	1.7	-1.1	-4.8	55	1.6	8.1	0.4	0.8	7.3
1968	2	15	0.3	-0.8	-2.5	69.3	3.3	0.9	0.4	0.8	10
1968	2	16	2	-0.5	-2.4	75.5	1.1	4.7	0	0	9
1968	2	17	4	-0.3	-3.1	78	0.9	8.5	0	0	3.3
1968	2	18	9.7	2.8	-1.7	55.3	2.1	5.8	0	0	6.5
1968	2	19	-1.7	-4.5	-7.5	35	3.7	9.4	0	0	0.3
1968	2	20	-3.3	-6.8	-9.5	28.5	2.7	9.4	0	0	0.8
1968	2	21	-1.9	-6	-8.6	39.5	2.5	9.7	0	0	2
1968	2	22	-0.7	-4.6	-8.3	46	2.8	7.3	0	0	4.8
1968	2	23	-1	-2.7	-5.8	73.3	1.6	1.2	0.5	1.8	8
1968	2	24	1.8	-2.3	-6.8	47	1.5	9.7	0	0	1
1968	2	25	3.5	0.1	-3.5	58.3	1.6	6.6	0	0	2.5
1968	2	26	6	1	-3.1	62.8	1.1	10.1	0	0	0
1968	2	27	7.8	3	-1.8	59	1.4	9.8	0	0	2.5
1968	2	28	4.9	2	-0.7	82.8	1.3	5.8	0	0	7
1968	2	29	7.9	3	-0.4	57.5	2.2	9.1	2	0	3.8
1968	3	1	6	1.2	-3.2	30.3	1.9	10.2	0	0	0
1968	3	2	4.2	0.8	-2.3	47.5	2.2	10.4	0	0	0
1968	3	3	4.6	0.6	-3.2	63	2	10.2	0	0	0
1968	3	4	12.1	6.4	-0.6	45.8	1.6	8.1	0	0	3.8
1968	3	5	11.9	8.5	2.3	43.5	2.3	8.2	0	0	4.3
1968	3	6	9.7	4.5	1.1	44.5	3.6	9.6	0	0	1.5
1968	3	7	8.6	6.2	4.2	53.8	2.2	0	0.2	0	7.8
1968	3	8	6.2	2.1	-0.2	60.5	1.3	4.4	0.6	0	4.5
1968	3	9	6.2	1.5	-2	36.8	1.9	10.7	0	0	0
1968	3	10	7.3	4.3	-0.1	38	3.3	9.9	0	0	0
1968	3	11	10.7	6.5	3.3	49.3	1.4	0	0	0	6.5
1968	3	12	11.5	8.2	4.6	46.5	2.4	9.4	0	0	1.8
